conv_para,e_tot,e_tot_unit,lat_const,lat_const_unit
10,-11583.66973018,Ry,6.542869420638931,a0
100,-11583.669685,Ry,6.543106925244613,a0
15,-11583.66969767,Ry,6.5430859026464585,a0
20,-11583.66968532,Ry,6.543037832873897,a0
25,-11583.66968503,Ry,6.543056468887566,a0
30,-11583.66968491,Ry,6.542959382503982,a0
35,-11583.66968487,Ry,6.542984116498162,a0
40,-11583.66968498,Ry,6.543014932656467,a0
45,-11583.66968499,Ry,6.543066648827516,a0
50,-11583.66968498,Ry,6.543015328590785,a0
55,-11583.66968501,Ry,6.543191610440929,a0
60,-11583.66968498,Ry,6.543051278171664,a0
65,-11583.669685,Ry,6.543106925244613,a0
70,-11583.66968501,Ry,6.543012062732173,a0
75,-11583.66968502,Ry,6.543021785640998,a0
80,-11583.66968498,Ry,6.543051278171664,a0
85,-11583.669685,Ry,6.543085059426812,a0
90,-11583.669685,Ry,6.543085059426812,a0
95,-11583.669685,Ry,6.543106925244613,a0
